"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.530","+0","178","1,6","1.829"
"3","Bayern","48.294","+32","296","2,3","2.592"
"4","Berlin","8.168","+23","317","8,5","213"
"5","Branden­burg","3.417","-20","29","1,2","165"
"6","Bremen","1.661","+2","17","2,5","50"
"7","Hamburg","5.178","+0","24","1,3","259"
"8","Hessen","10.761","+30","169","2,7","506"
"9","Meck­lenburg-
Vor­pommern","801","+3","8","0,5","20"
"10","Nieder­sachsen","13.478","+22","192","2,4","628"
"11","Nord­rhein-West­falen","42.723","+152","1.532","8,5","1.674"
"12","Rhein­land-Pfalz","6.974","+3","56","1,4","235"
"13","Saarland","2.805","+3","6","0,6","173"
"14","Sachsen","5.444","+0","23","0,6","222"
"15","Sachsen-Anhalt","1.868","+3","26","1,2","58"
"16","Schles­wig-Holstein","3.147","+1","13","0,4","152"
"17","Thüringen","3.250","+2","19","0,9","181"
"18","Gesamt","193.499","+256","2.905","3,5","8.957"
