"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","14.662","+1.252","132","241"
"3","Bayern","18.496","+1.999","141","268"
"4","Berlin","2.970","+216","79","19"
"5","Brandenburg","995","+114","40","7"
"6","Bremen","327","+16","48","6"
"7","Hamburg","2.406","+95","131","14"
"8","Hessen","3.707","+262","59","27"
"9","Mecklenburg-
Vor­pommern","438","+32","27","3"
"10","Niedersachsen","4.695","+313","59","45"
"11","Nordrhein-West­falen","15.427","+1.076","86","161"
"12","Rhein­land-Pfalz","3.132","+233","77","26"
"13","Saarland","1.020","+191","103","11"
"14","Sachsen","2.183","+149","54","18"
"15","Sachsen-Anhalt","804","+54","36","8"
"16","Schles­wig-Holstein","1.335","+89","46","11"
"17","Thüringen","925","+65","43","7"
"18","Gesamt","73.522","+6.156","88","872"
