"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","42.367","+248","1.477","13,3","1.867"
"3","Bayern","57.781","+296","1.816","13,9","2.641"
"4","Berlin","11.347","+81","450","12,0","226"
"5","Branden­burg","3.875","+4","36","1,4","169"
"6","Bremen","2.015","+13","92","13,5","57"
"7","Hamburg","6.313","+51","163","8,9","267"
"8","Hessen","15.692","+96","653","10,4","534"
"9","Meck­lenburg-
Vor­pommern","1.009","+1","10","0,6","20"
"10","Nieder­sachsen","16.888","+93","463","5,8","662"
"11","Nord­rhein-West­falen","59.263","+240","1.613","9,0","1.817"
"12","Rhein­land-Pfalz","9.168","+63","371","9,1","243"
"13","Saarland","3.157","+6","64","6,5","174"
"14","Sachsen","6.022","+32","147","3,6","225"
"15","Sachsen-Anhalt","2.250","+6","40","1,8","65"
"16","Schles­wig-Holstein","4.064","+19","102","3,5","160"
"17","Thüringen","3.644","+7","67","3,1","186"
"18","Gesamt","244.855","+1.256","7.564","9,1","9.313"
