"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","34.898","+28","138","1,2","1.790"
"3","Bayern","47.326","+58","362","2,8","2.489"
"4","Berlin","6.964","+18","175","4,7","201"
"5","Branden­burg","3.294","+6","18","0,7","158"
"6","Bremen","1.513","+15","109","16,0","44"
"7","Hamburg","5.111","+4","24","1,3","254"
"8","Hessen","10.171","+8","141","2,3","483"
"9","Meck­lenburg-
Vor­pommern","766","+2","5","0,3","20"
"10","Nieder­sachsen","12.399","+122","408","5,1","605"
"11","Nord­rhein-West­falen","38.524","+85","585","3,3","1.622"
"12","Rhein­land-Pfalz","6.761","+29","68","1,7","230"
"13","Saarland","2.740","+2","16","1,6","166"
"14","Sachsen","5.321","+6","22","0,5","212"
"15","Sachsen-Anhalt","1.717","+5","12","0,5","55"
"16","Schles­wig-Holstein","3.107","+4","15","0,5","147"
"17","Thüringen","3.066","+15","62","2,9","170"
"18","Gesamt","183.678","+407","2.160","2,6","8.646"
