"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg*","35.272","0","109","1,0","1.824"
"3","Bayern","47.867","+24","233","1,8","2.567"
"4","Berlin","7.833","+29","472","12,6","211"
"5","Branden­burg","3.394","+6","50","2,0","163"
"6","Bremen","1.648","+3","56","8,2","49"
"7","Hamburg","5.170","+7","25","1,4","259"
"8","Hessen","10.578","+3","214","3,4","501"
"9","Meck­lenburg-
Vor­pommern","792","0","9","0,6","20"
"10","Nieder­sachsen","13.283","+147","344","4,3","618"
"11","Nord­rhein-West­falen","41.218","+297","1860","10,4","1.663"
"12","Rhein­land-Pfalz","6.917","+10","71","1,7","234"
"13","Saarland*","2.778","0","10","1,0","168"
"14","Sachsen*","5.408","0","60","1,5","221"
"15","Sachsen-Anhalt","1.844","+2","74","3,4","57"
"16","Schles­wig-Holstein","3.136","+2","17","0,6","152"
"17","Thüringen","3.221","+7","41","1,9","178"
"18","Gesamt","190.359","+537","3.645","4,4","8.885"
