"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","51.579","+388","1.956","17,7","1.894"
"3","Bayern","70.381","+375","2.131","16,3","2.680"
"4","Berlin","16.237","+288","1.590","42,4","231"
"5","Branden­burg","4.483","+36","186","7,4","169"
"6","Bremen","2.702","+70","270","39,5","59"
"7","Hamburg","8.451","+112","507","27,5","274"
"8","Hessen","20.355","+242","1.383","22,1","556"
"9","Meck­lenburg-
Vor­pommern","1.304","+11","103","6,4","20"
"10","Nieder­sachsen","21.456","+172","1.148","14,4","691"
"11","Nord­rhein-West­falen","74.615","+773","4.550","25,4","1.891"
"12","Rhein­land-Pfalz","11.308","+93","574","14,1","256"
"13","Saarland","3.489","+40","164","16,6","177"
"14","Sachsen","7.679","+146","382","9,4","243"
"15","Sachsen-Anhalt","2.774","+10","124","5,6","68"
"16","Schles­wig-Holstein","5.032","+54","247","8,5","162"
"17","Thüringen","4.241","+18","158","7,4","191"
"18","Gesamt","306.086","+2.828","15.473","18,6","9.562"
