"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","31.043","+282","280","1.249"
"3","Bayern","41.070","+158","314","1.621"
"4","Berlin","5.638","+38","150","125"
"5","Brandenburg","2.721","+27","108","100"
"6","Bremen","754","+15","110","27"
"7","Hamburg","4.475","+46","243","142"
"8","Hessen","7.979","+33","127","320"
"9","Mecklenburg-
Vor­pommern","674","+1","42","16"
"10","Niedersachsen","9.847","+62","123","391"
"11","Nordrhein-West­falen","31.879","+210","178","1.131"
"12","Rhein­land-Pfalz","5.879","+44","144","152"
"13","Saarland","2.503","+21","253","121"
"14","Sachsen","4.458","+30","109","147"
"15","Sachsen-Anhalt","1.515","+21","69","36"
"16","Schles­wig-Holstein","2.638","+8","91","98"
"17","Thüringen","2.120","+22","99","74"
"18","Gesamt","155.193","+1.018","187","5.750"
