"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","34.912","+14","133","1,2","1.791"
"3","Bayern","47.334","+8","297","2,3","2.501"
"4","Berlin","6.997","+33","184","4,9","205"
"5","Branden­burg","3.297","+3","16","0,6","158"
"6","Bremen","1.517","+4","89","13,0","44"
"7","Hamburg","5.113","+2","26","1,4","254"
"8","Hessen","10.203","+32","138","2,2","484"
"9","Meck­lenburg-
Vor­pommern","773","+7","12","0,7","20"
"10","Nieder­sachsen","12.466","+67","416","5,2","605"
"11","Nord­rhein-West­falen","38.616","+92","594","3,3","1.623"
"12","Rhein­land-Pfalz","6.775","+14","71","1,7","230"
"13","Saarland","2.747","+7","22","2,2","166"
"14","Sachsen","5.323","+2","19","0,5","214"
"15","Sachsen-Anhalt","1.720","+3","12","0,5","56"
"16","Schles­wig-Holstein","3.109","+2","13","0,4","147"
"17","Thüringen","3.077","+11","63","2,9","170"
"18","Gesamt","183.979","+301","2.105","2,5","8.668"
