"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","41.773","+199","1.571","14,2","1.866"
"3","Bayern","57.059","+87","1.889","14,4","2.638"
"4","Berlin","11.183","+58","445","11,9","226"
"5","Branden­burg","3.869","+2","60","2,4","169"
"6","Bremen","1.992","+12","93","13,6","56"
"7","Hamburg","6.227","+34","149","8,1","266"
"8","Hessen","15.399","+48","754","12,0","531"
"9","Meck­lenburg-
Vor­pommern","1.007","+3","14","0,9","20"
"10","Nieder­sachsen","16.690","+62","515","6,5","661"
"11","Nord­rhein-West­falen","58.584","+132","1.648","9,2","1.809"
"12","Rhein­land-Pfalz","9.008","+80","343","8,4","243"
"13","Saarland","3.153","+27","73","7,4","174"
"14","Sachsen","5.949","+15","119","2,9","225"
"15","Sachsen-Anhalt","2.232","+6","47","2,1","65"
"16","Schles­wig-Holstein","4.022","+7","116","4,0","160"
"17","Thüringen","3.624","+13","69","3,2","186"
"18","Gesamt","241.771","+785","7.905","9,5","9.295"
