"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.041","0*","173","1,6","1.837"
"3","Bayern","49.273","+69","458","3,5","2.612"
"4","Berlin","8.638","+1","183","4,9","217"
"5","Branden­burg","3.462","0*","17","0,7","168"
"6","Bremen","1.690","+1","11","1,6","55"
"7","Hamburg","5.231","+1","14","0,8","261"
"8","Hessen","11.169","+7","209","3,3","514"
"9","Meck­lenburg-
Vor­pommern","804","0","0","0,0","20"
"10","Nieder­sachsen","13.806","+2","81","1,0","642"
"11","Nord­rhein-West­falen","44.974","+59","863","4,8","1.705"
"12","Rhein­land-Pfalz","7.174","+17","85","2,1","236"
"13","Saarland","2.812","0*","6","0,6","174"
"14","Sachsen","5.473","0*","14","0,3","225"
"15","Sachsen-Anhalt","1.917","0","23","1,0","62"
"16","Schles­wig-Holstein","3.207","+1","17","0,6","154"
"17","Thüringen","3.292","+1","20","0,9","182"
"18","Gesamt","198.963","+159","2.174","2,6","9.064"
