"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.090","+33","153","1,4","1.805"
"3","Bayern","47.612","+38","273","2,1","2.540"
"4","Berlin","7.252","+87","254","6,8","208"
"5","Branden­burg","3.326","+20","29","1,2","163"
"6","Bremen","1.581","+8","68","10,0","45"
"7","Hamburg","5.139","+5","22","1,2","255"
"8","Hessen","10.321","+8","131","2,1","491"
"9","Meck­lenburg-
Vor­pommern","781","+1","14","0,9","20"
"10","Nieder­sachsen","12.822","+45","339","4,2","613"
"11","Nord­rhein-West­falen","39.137","+77","599","3,3","1.643"
"12","Rhein­land-Pfalz","6.838","+11","56","1,4","231"
"13","Saarland","2.770","+1","27","2,7","168"
"14","Sachsen","5.345","+1","21","0,5","219"
"15","Sachsen-Anhalt","1.734","+2","15","0,7","56"
"16","Schles­wig-Holstein","3.120","0","13","0,4","150"
"17","Thüringen","3.154","+11","69","3,2","174"
"18","Gesamt","186.022","+348","2.083","2,5","8.781"
