"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg*","36.819","0","325","2,9","1.841"
"3","Bayern","50.501","+219","641","4,9","2.619"
"4","Berlin","9.001","+10","215","5,7","223"
"5","Branden­burg","3.524","0","39","1,6","168"
"6","Bremen","1.747","+1","27","4,0","55"
"7","Hamburg","5.322","+18","79","4,3","261"
"8","Hessen","11.685","+5","265","4,2","518"
"9","Meck­lenburg-
Vor­pommern","843","0","34","2,1","20"
"10","Nieder­sachsen","14.241","+18","192","2,4","648"
"11","Nord­rhein-West­falen","47.471","+41","1.323","7,4","1.728"
"12","Rhein­land-Pfalz","7.434","+14","104","2,5","238"
"13","Saarland","2.851","+1","21","2,1","174"
"14","Sachsen*","5.512","0","24","0,6","225"
"15","Sachsen-Anhalt","1.989","+3","33","1,5","63"
"16","Schles­wig-Holstein","3.322","+4","59","2,0","155"
"17","Thüringen","3.347","+6","24","1,1","182"
"18","Gesamt","205.609","+340","3.405","4,1","9.118"
