"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg*","48.467","+0","1.205","10,9","1.877"
"3","Bayern","67.255","+251","2.194","16,8","2.659"
"4","Berlin","14.113","+143","999","26,7","228"
"5","Branden­burg","4.214","+11","108","4,3","169"
"6","Bremen","2.366","+46","153","22,4","59"
"7","Hamburg","7.638","+88","384","20,9","269"
"8","Hessen","18.607","+211","984","15,7","550"
"9","Meck­lenburg-
Vor­pommern*","1.151","+0","38","2,4","20"
"10","Nieder­sachsen","19.772","+24","788","9,9","683"
"11","Nord­rhein-West­falen","68.395","+492","3.086","17,2","1.864"
"12","Rhein­land-Pfalz","10.483","+44","348","8,5","252"
"13","Saarland","3.295","+7","60","6,1","176"
"14","Sachsen","7.095","+43","336","8,2","233"
"15","Sachsen-Anhalt","2.569","+33","115","5,2","67"
"16","Schles­wig-Holstein","4.671","+15","243","8,4","161"
"17","Thüringen","4.049","+3","109","5,1","190"
"18","Gesamt","284.140","+1.411","11.150","13,4","9.457"
