"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.530","+54","212","1,9","1.829"
"3","Bayern","48.262","+60","295","2,3","2.591"
"4","Berlin","8.145","+49","327","8,7","213"
"5","Branden­burg","3.437","+0","40","1,6","165"
"6","Bremen","1.659","+1","23","3,4","50"
"7","Hamburg","5.178","+5","28","1,5","259"
"8","Hessen","10.731","+24","159","2,5","506"
"9","Meck­lenburg-
Vor­pommern","798","+1","5","0,3","20"
"10","Nieder­sachsen","13.456","+34","212","2,7","627"
"11","Nord­rhein-West­falen","42.571","+421","1.664","9,3","1.674"
"12","Rhein­land-Pfalz","6.971","+20","63","1,5","235"
"13","Saarland","2.802","+0","4","0,4","172"
"14","Sachsen","5.444","+5","32","0,8","222"
"15","Sachsen-Anhalt","1.865","+3","26","1,2","58"
"16","Schles­wig-Holstein","3.146","+2","13","0,4","152"
"17","Thüringen","3.248","+8","25","1,2","181"
"18","Gesamt","193.243","+687","3.128","3,8","8.954"
