"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","47.883","+293","1.500","13,6","1.875"
"3","Bayern","66.192","+446","2.437","18,6","2.654"
"4","Berlin","13.573","+199","881","23,5","228"
"5","Branden­burg","4.150","+34","85","3,4","169"
"6","Bremen","2.262","+12","90","13,2","59"
"7","Hamburg","7.369","+78","337","18,3","269"
"8","Hessen","18.035","+165","752","12,0","546"
"9","Meck­lenburg-
Vor­pommern","1.136","+5","57","3,5","20"
"10","Nieder­sachsen","19.315","+178","804","10,1","678"
"11","Nord­rhein-West­falen","66.680","+489","2.905","16,2","1.859"
"12","Rhein­land-Pfalz","10.282","+52","325","8,0","248"
"13","Saarland","3.262","+10","55","5,6","176"
"14","Sachsen","6.887","+71","309","7,6","229"
"15","Sachsen-Anhalt","2.497","+27","104","4,7","67"
"16","Schles­wig-Holstein","4.540","+42","210","7,2","161"
"17","Thüringen","4.007","+42","131","6,1","190"
"18","Gesamt","278.070","+2.143","10.982","13,2","9.428"
