"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","48.467","+332","1.407","12,7","1.877"
"3","Bayern","67.005","+448","2.257","17,3","2.657"
"4","Berlin","13.970","+159","914","24,4","228"
"5","Branden­burg","4.203","+25","104","4,1","169"
"6","Bremen","2.320","+40","132","19,3","59"
"7","Hamburg","7.550","+119","362","19,7","269"
"8","Hessen","18.396","+175","847","13,5","549"
"9","Meck­lenburg-
Vor­pommern","1.151","+7","46","2,9","20"
"10","Nieder­sachsen","19.748","+305","864","10,8","683"
"11","Nord­rhein-West­falen","67.903","+625","2.991","16,7","1.863"
"12","Rhein­land-Pfalz","10.439","+58","349","8,5","251"
"13","Saarland","3.288","+18","59","6,0","176"
"14","Sachsen","7.052","+110","339","8,3","233"
"15","Sachsen-Anhalt","2.536","+11","90","4,1","67"
"16","Schles­wig-Holstein","4.656","+53","257","8,9","161"
"17","Thüringen","4.046","+22","113","5,3","190"
"18","Gesamt","282.730","+2.507","11.131","13,4","9.452"
