"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württem­berg","3.668","+922","33","16",""
"3","Bayern","2.960","+559","23","19",""
"4","Berlin","866","+135","23","1",""
"5","Brandenburg","254","+62","10","0",""
"6","Bremen","142","+21","21","0",""
"7","Hamburg","587","+1","32","0",""
"8","Hessen","1.080","+267","17","2",""
"9","Mecklenburg-Vor­pommern","165","+34","10","0",""
"10","Niedersachsen","1.023","+220","13","0",""
"11","Nordrhein-West­falen","3.542","+45","20","6","Landkreis Heinsberg"
"12","Rhein­land-Pfalz","938","+137","23","1",""
"13","Saarland","187","+41","19","0",""
"14","Sachsen","567","+173","14","0",""
"15","Sachsen-Anhalt","188","+8","9","0",""
"16","Schles­wig-Holstein","308","+42","11","1",""
"17","Thüringen","187","+38","9","0",""
"18","Gesamt","16.662","+2.705","20","46",""
