"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","33.851","+181","306","1.628"
"3","Bayern","45.143","+163","345","2.260"
"4","Berlin","6.397","+55","171","177"
"5","Brandenburg","3.158","+23","126","148"
"6","Bremen","1.129","+25","165","37"
"7","Hamburg","4.981","+5","271","228"
"8","Hessen","9.204","+35","147","429"
"9","Mecklenburg-
Vor­pommern","740","+1","46","20"
"10","Niedersachsen","11.087","+84","139","534"
"11","Nordrhein-West­falen","35.967","+226","201","1.493"
"12","Rhein­land-Pfalz","6.413","+31","157","213"
"13","Saarland","2.684","+7","271","147"
"14","Sachsen","5.061","+30","124","195"
"15","Sachsen-Anhalt","1.668","+12","76","54"
"16","Schles­wig-Holstein","2.988","+6","103","126"
"17","Thüringen","2.681","+29","125","135"
"18","Gesamt","173.152","+913","208","7.824"
