"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","25.881","+443","234","802"
"3","Bayern","35.142","+848","269","1.049"
"4","Berlin","4.848","+126","129","74"
"5","Brandenburg","2.058","+108","82","54"
"6","Bremen","507","+7","74","21"
"7","Hamburg","3.953","+84","215","80"
"8","Hessen","6.470","+123","103","187"
"9","Mecklenburg-
Vor­pommern","634","+10","39","13"
"10","Niedersachsen","8.188","+169","103","248"
"11","Nordrhein-West­falen","26.383","+548","147","663"
"12","Rhein­land-Pfalz","5.087","+83","125","87"
"13","Saarland","2.201","+56","222","71"
"14","Sachsen","3.955","+136","97","94"
"15","Sachsen-Anhalt","1.248","+25","57","26"
"16","Schles­wig-Holstein","2.294","+49","79","55"
"17","Thüringen","1.601","+51","75","45"
"18","Gesamt","130.450","+2.866","157","3.569"
