"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.177","+27","145","1,3","1.811"
"3","Bayern","47.710","+20","235","1,8","2.546"
"4","Berlin","7.402","+33","296","7,9","209"
"5","Branden­burg","3.362","+28","43","1,7","163"
"6","Bremen","1.607","+14","59","8,6","49"
"7","Hamburg","5.149","+2","26","1,4","257"
"8","Hessen","10.386","+15","118","1,9","496"
"9","Meck­lenburg-
Vor­pommern","786","+2","9","0,6","20"
"10","Nieder­sachsen","12.968","+18","263","3,3","615"
"11","Nord­rhein-West­falen","39.573","+158","692","3,9","1.655"
"12","Rhein­land-Pfalz","6.856","+10","33","0,8","233"
"13","Saarland","2.773","0","8","0,8","168"
"14","Sachsen","5.350","+1","11","0,3","221"
"15","Sachsen-Anhalt","1.775","+4","47","2,1","57"
"16","Schles­wig-Holstein","3.122","0","9","0,3","152"
"17","Thüringen","3.188","+13","71","3,3","178"
"18","Gesamt","187.184","+345","2.065","2,5","8.830"
