"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.409","+44","175","1,6","1.826"
"3","Bayern","47.995","+101","251","1,9","2.578"
"4","Berlin","7.975","+59","506","13,5","211"
"5","Branden­burg","3.413","+6","48","1,9","164"
"6","Bremen","1.653","-1","46","6,7","49"
"7","Hamburg","5.175","+5","28","1,5","259"
"8","Hessen","10.645","+32","235","3,8","503"
"9","Meck­lenburg-
Vor­pommern","794","+2","7","0,4","20"
"10","Nieder­sachsen","13.327","+15","293","3,7","622"
"11","Nord­rhein-West­falen","41.678","+260","2.018","11,3","1.668"
"12","Rhein­land-Pfalz","6.924","+5","57","1,4","235"
"13","Saarland","2.801","+23","7","0,7","169"
"14","Sachsen","5.436","+28","77","1,9","222"
"15","Sachsen-Anhalt","1.856","+5","68","3,1","58"
"16","Schles­wig-Holstein","3.137","+1","15","0,5","152"
"17","Thüringen","3.231","+2","31","1,4","178"
"18","Gesamt","191.449","+587","3.862","4,6","8.914"
