"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","42.925","+311","1.404","12,7","1.865"
"3","Bayern","58.385","+308","1.525","11,7","2.641"
"4","Berlin","11.529","+98","459","12,2","226"
"5","Branden­burg","3.902","+4","30","1,2","169"
"6","Bremen","2.048","+11","92","13,5","58"
"7","Hamburg","6.396","+45","192","10,4","267"
"8","Hessen","15.912","+136","640","10,2","535"
"9","Meck­lenburg-
Vor­pommern","1.019","+4","16","1,0","20"
"10","Nieder­sachsen","17.133","+141","498","6,2","665"
"11","Nord­rhein-West­falen","59.811","+284","1.544","8,6","1.821"
"12","Rhein­land-Pfalz","9.260","+48","350","8,6","243"
"13","Saarland","3.176","+8","59","6,0","174"
"14","Sachsen","6.095","+30","162","4,0","225"
"15","Sachsen-Anhalt","2.263","+3","40","1,8","66"
"16","Schles­wig-Holstein","4.107","+16","106","3,7","161"
"17","Thüringen","3.658","+6","60","2,8","186"
"18","Gesamt","247.619","+1.453","7.177","8,6","9.322"
