"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","57.455","+967","4.226","38,1","1.920"
"3","Bayern","76.680","+1.145","4.647","35,4","2.702"
"4","Berlin","20.088","+551","2.710","73,9","239"
"5","Branden­burg","5.211","+113","512","20,3","172"
"6","Bremen","3.377","+103","498","73,1","62"
"7","Hamburg","9.456","+168","603","32,6","278"
"8","Hessen","24.151","+670","2.940","46,8","571"
"9","Meck­lenburg-
Vor­pommern","1.590","+58","225","14,0","20"
"10","Nieder­sachsen","24.724","+715","2.192","27,4","710"
"11","Nord­rhein-West­falen","86.315","+2.154","8.940","49,8","1.936"
"12","Rhein­land-Pfalz","12.884","+237","1.097","26,8","262"
"13","Saarland","4.013","+53","442","44,8","177"
"14","Sachsen","9.335","+213","1.033","25,4","255"
"15","Sachsen-Anhalt","3.057","+58","179","8,2","71"
"16","Schles­wig-Holstein","5.510","+54","355","12,2","163"
"17","Thüringen","4.711","+75","376","17,6","196"
"18","Gesamt","348.557","+7.334","30.975","37,2","9.734"
