"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.492","+150","328","3,0","1.838"
"3","Bayern","49.872","+97","494","3,8","2.617"
"4","Berlin","8.802","+23","125","3,3","221"
"5","Branden­burg","3.485","+2","23","0,9","167"
"6","Bremen","1.721","+1","30","4,4","55"
"7","Hamburg","5.241","+1","14","0,8","261"
"8","Hessen","11.430","+21","221","3,5","515"
"9","Meck­lenburg-
Vor­pommern","809","+3","5","0,3","20"
"10","Nieder­sachsen","14.059","+29","208","2,6","646"
"11","Nord­rhein-West­falen","46.213","+138","1.092","6,1","1.714"
"12","Rhein­land-Pfalz","7.338","+24","122","3,0","238"
"13","Saarland","2.832","+2","11","1,1","174"
"14","Sachsen","5.501","+13","23","0,6","225"
"15","Sachsen-Anhalt","1.956","+6","37","1,7","62"
"16","Schles­wig-Holstein","3.271","+10","50","1,7","155"
"17","Thüringen","3.323","2","26","1,2","182"
"18","Gesamt","202.345","+522","2.809","3,4","9.090"
