"","Bundesland","Elektronisch.übermittelte.Fälle","Elektronisch.übermittelte.Fälle.1","Elektronisch.übermittelte.Fälle.2","Elektronisch.übermittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württemberg","2.746","+591","25","10",""
"3","Bayern","2.401","+709","18","12",""
"4","Berlin","731","+158","20","0",""
"5","Brandenburg","192","+58","8","0",""
"6","Bremen","121","+41","18","0",""
"7","Hamburg","586","+154","32","0",""
"8","Hessen","813","+131","13","1",""
"9","Mecklenburg-Vorpommern","131","+33","8","0",""
"10","Niedersachsen","803","+134","10","0",""
"11","Nordrhein-Westfalen","3.497","+464","20","6","Landkreis Heinsberg"
"12","Rheinland-Pfalz","801","+164","20","1",""
"13","Saarland","146","+47","15","0",""
"14","Sachsen","394","+119","10","0",""
"15","Sachsen-Anhalt","180","+40","8","0",""
"16","Schleswig-Holstein","266","+64","9","1",""
"17","Thüringen","149","+51","7","0",""
"18","Gesamt","13.957","+2.958","17","31",""
