"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","61.694","+973","5.419","48,8","1.946"
"3","Bayern","82.102","+1.222","7.213","55,0","2.726"
"4","Berlin","22.727","+822","3.399","92,6","243"
"5","Branden­burg","5.670","+96","577","22,9","175"
"6","Bremen","3.725","+95","563","82,6","63"
"7","Hamburg","10.207","+204","852","46,1","281"
"8","Hessen","27.307","+749","4.395","69,9","590"
"9","Meck­lenburg-
Vor­pommern","1.790","+71","283","17,6","21"
"10","Nieder­sachsen","26.611","+255","2.573","32,2","719"
"11","Nord­rhein-West­falen","94.883","+2.189","12.027","67,0","1.970"
"12","Rhein­land-Pfalz","14.199","+242","1.624","39,7","265"
"13","Saarland","4.467","+30","577","58,5","177"
"14","Sachsen","10.906","+386","1.704","41,8","264"
"15","Sachsen-Anhalt","3.387","+53","366","16,7","71"
"16","Schles­wig-Holstein","5.989","+110","597","20,6","163"
"17","Thüringen","5.098","+98","520","24,4","201"
"18","Gesamt","380.762","+7.595","42.689","51,3","9.875"
