"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","48.135","+252","1.387","12,5","1.876"
"3","Bayern","66.557","+365","2.294","17,5","2.657"
"4","Berlin","13.811","+238","943","25,2","228"
"5","Branden­burg","4.178","+28","102","4,1","169"
"6","Bremen","2.280","+18","105","15,4","59"
"7","Hamburg","7.431","+62","317","17,2","269"
"8","Hessen","18.221","+186","790","12,6","548"
"9","Meck­lenburg-
Vor­pommern","1.144","+8","49","3,0","20"
"10","Nieder­sachsen","19.443","+128","761","9,5","681"
"11","Nord­rhein-West­falen","67.278","+598","2.900","16,2","1.861"
"12","Rhein­land-Pfalz","10.381","+99","364","8,9","251"
"13","Saarland","3.270","+8","49","4,9","176"
"14","Sachsen","6.942","+55","293","7,2","230"
"15","Sachsen-Anhalt","2.525","+28","104","4,7","67"
"16","Schles­wig-Holstein","4.603","+63","237","8,2","161"
"17","Thüringen","4.024","+17","124","5,8","190"
"18","Gesamt","280.223","+2.153","10.819","13,0","9.443"
