"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi-denz","Todes­fälle"
"2","Baden-Württem­berg","34.479","+350*","310","2,8","1.743"
"3","Bayern","46.809","+80","707","5,4","2.441"
"4","Berlin","6.738","+35","136","3,6","196"
"5","Branden­burg","3.271","+10","31","1,2","155"
"6","Bremen","1.372","+24","81","11,9","41"
"7","Hamburg","5.078","+2","12","0,7","246"
"8","Hessen","9.962","+47","298","4,8","476"
"9","Meck-lenburg-
Vor­pommern","759","-1","1","0,1","20"
"10","Nieder-sachsen","11.832","+82","344","4,3","585"
"11","Nord­rhein-West­falen","37.803","+105","703","3,9","1.588"
"12","Rhein­land-Pfalz","6.673","+21","92","2,3","230"
"13","Saarland","2.716","-15**","20","2,0","162"
"14","Sachsen","5.230","-30**","66","1,6","209"
"15","Sachsen-Anhalt","1.700","-1","9","0,4","55"
"16","Schles­wig-Holstein","3.078","+6","29","1,0","144"
"17","Thüringen","2.958","+26","128","6,0","159"
"18","Gesamt","180.458","+741","2.967","3,6","8.450"
