"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","40.358","+185","1.450","13,1","1.863"
"3","Bayern","55.414","+353","1.835","14,0","2.634"
"4","Berlin","10.786","+58","416","11,1","226"
"5","Branden­burg","3.795","+8","70","2,8","169"
"6","Bremen","1.913","+8","62","9,1","56"
"7","Hamburg","6.083","+29","151","8,2","265"
"8","Hessen","14.809","+152","1.073","17,1","528"
"9","Meck­lenburg-
Vor­pommern","997","+3","21","1,3","20"
"10","Nieder­sachsen","16.191","+95","586","7,3","661"
"11","Nord­rhein-West­falen","57.213","+297","2.018","11,3","1.802"
"12","Rhein­land-Pfalz","8.713","+46","409","10,0","243"
"13","Saarland","3.080","+4","69","7,0","174"
"14","Sachsen","5.827","+3","74","1,8","225"
"15","Sachsen-Anhalt","2.183","+3","53","2,4","65"
"16","Schles­wig-Holstein","3.927","+23","114","3,9","160"
"17","Thüringen","3.564","+11","57","2,7","186"
"18","Gesamt","234.853","+1.278","8.458","10,2","9.277"
