"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.218","41","132","1,2","1.816"
"3","Bayern","47.747","37","201","1,5","2.556"
"4","Berlin","7.475","73","292","7,8","210"
"5","Branden­burg","3.365","3","40","1,6","163"
"6","Bremen","1.619","12","54","7,9","49"
"7","Hamburg","5.154","5","22","1,2","259"
"8","Hessen","10.440","54","137","2,2","498"
"9","Meck­lenburg-
Vor­pommern","787","1","9","0,6","20"
"10","Nieder­sachsen","13.063","95","293","3,7","618"
"11","Nord­rhein-West­falen*","39.777","204","752","4,2","1.658"
"12","Rhein­land-Pfalz","6.874","18","44","1,1","234"
"13","Saarland","2.773","0","7","0,7","168"
"14","Sachsen","5.359","9","17","0,4","221"
"15","Sachsen-Anhalt","1.802","27","71","3,2","57"
"16","Schles­wig-Holstein","3.122","0","7","0,2","152"
"17","Thüringen","3.189","1","59","2,8","177"
"18","Gesamt","187.764","580","2.137","2,6","8.856"
