"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.807","0","156","1,4","1.837"
"3","Bayern","48.665","+10","340","2,6","2.600"
"4","Berlin","8.434","+41","248","6,6","215"
"5","Branden­burg","3.460","+1","29","1,2","167"
"6","Bremen","1.678","+3","17","2,5","53"
"7","Hamburg","5.220","+3","25","1,4","261"
"8","Hessen","10.939","+21","168","2,7","512"
"9","Meck­lenburg-
Vor­pommern","804","0","3","0,2","20"
"10","Nieder­sachsen","13.664","+17","138","1,7","635"
"11","Nord­rhein-West­falen","43.990","+137","1.106","6,2","1.687"
"12","Rhein­land-Pfalz","7.080","0","93","2,3","235"
"13","Saarland","2.805","0","3","0,3","174"
"14","Sachsen","5.458","0","15","0,4","224"
"15","Sachsen-Anhalt","1.880","0","10","0,5","59"
"16","Schles­wig-Holstein","3.181","+3","30","1,0","152"
"17","Thüringen","3.270","+3","21","1,0","181"
"18","Gesamt","196.335","+239","2.402","2,9","9.012"
