"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.975","+79","391","3,5","1.859"
"3","Bayern","52.182","+236","646","4,9","2.627"
"4","Berlin","9.851","+111","410","10,9","224"
"5","Branden­burg","3.642","+8","45","1,8","169"
"6","Bremen","1.819","+10","29","4,2","56"
"7","Hamburg","5.748","+57","222","12,1","262"
"8","Hessen","12.876","+61","580","9,3","526"
"9","Meck­lenburg-
Vor­pommern","952","+9","55","3,4","20"
"10","Nieder­sachsen","15.122","+66","389","4,9","655"
"11","Nord­rhein-West­falen","52.588","+413","2.374","13,2","1.765"
"12","Rhein­land-Pfalz","7.935","+64","305","7,5","239"
"13","Saarland","2.952","+10","55","5,6","174"
"14","Sachsen","5.673","+18","96","2,4","225"
"15","Sachsen-Anhalt","2.076","+8","35","1,6","64"
"16","Schles­wig-Holstein","3.675","+55","159","5,5","158"
"17","Thüringen","3.453","+21","62","2,9","184"
"18","Gesamt","218.519","+1226","5.853","7,0","9.207"
