"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","50.934","+171","1.762","15,9","1.890"
"3","Bayern","69.631","+145","2.130","16,3","2.672"
"4","Berlin","15.648","+74","1.420","37,9","231"
"5","Branden­burg","4.421","+28","183","7,3","169"
"6","Bremen","2.619","+21","249","36,5","59"
"7","Hamburg","8.241","+65","445","24,2","273"
"8","Hessen","19.978","+190","1.294","20,7","553"
"9","Meck­lenburg-
Vor­pommern*","1.220","+0*","56","3,5","20*"
"10","Nieder­sachsen","21.075","+121","1.021","12,8","690"
"11","Nord­rhein-West­falen","72.995","+414","3.986","22,2","1.884"
"12","Rhein­land-Pfalz","11.086","+71","489","12,0","256"
"13","Saarland*","3.380","+0*","83","8,4","177*"
"14","Sachsen","7.502","+43","321","7,9","239"
"15","Sachsen-Anhalt","2.746","+10","138","6,2","68"
"16","Schles­wig-Holstein","4.938","+24","243","8,4","162"
"17","Thüringen","4.205","+5","145","6,8","191"
"18","Gesamt","300.619","+1.382","13.965","16,8","9.534"
