"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.115","+77","409","3,7","1.845"
"3","Bayern","50.806","+110","707","5,4","2.622"
"4","Berlin","9.150","+79","274","7,3","223"
"5","Branden­burg","3.551","+20","19","0,8","168"
"6","Bremen","1.763","+5","36","5,3","55"
"7","Hamburg","5.356","+18","75","4,1","261"
"8","Hessen","11.895","+89","354","5,6","519"
"9","Meck­lenburg-
Vor­pommern","861","+12","46","2,9","20"
"10","Nieder­sachsen","14.380","+75","194","2,4","649"
"11","Nord­rhein-West­falen","48.301","+336","1.537","8,6","1.732"
"12","Rhein­land-Pfalz","7.488","+32","96","2,4","239"
"13","Saarland","2.862","+5","22","2,2","174"
"14","Sachsen","5.532","+7","28","0,7","225"
"15","Sachsen-Anhalt","2.009","+12","34","1,5","64"
"16","Schles­wig-Holstein","3.401","+22","106","3,7","156"
"17","Thüringen","3.358","+3","31","1,4","182"
"18","Gesamt","207.828","+902","3.968","4,8","9.134"
