"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.002","+37","167","1,5","1.801"
"3","Bayern","47.536","+57","336","2,6","2.536"
"4","Berlin","7.138","+56","204","5,4","208"
"5","Branden­burg","3.352","+43","40","1,6","161"
"6","Bremen","1.565","+18","101","14,8","43"
"7","Hamburg","5.125","+4","17","0,9","254"
"8","Hessen","10.296","+40","161","2,6","489"
"9","Meck­lenburg-
Vor­pommern","778","+1","15","0,9","20"
"10","Nieder­sachsen","12.727","+101","424","5,3","610"
"11","Nord­rhein-West­falen","38.983","+138","694","3,9","1.641"
"12","Rhein­land-Pfalz","6.827","+17","95","2,3","231"
"13","Saarland","2.766","+3","29","2,9","167"
"14","Sachsen","5.346","+9","29","0,7","219"
"15","Sachsen-Anhalt","1.728","+7","17","0,8","56"
"16","Schles­wig-Holstein","3.117","+2","12","0,4","148"
"17","Thüringen","3.130","+22","80","3,7","171"
"18","Gesamt","185.416","+555","2.421","2,9","8.755"
