"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg*","36.041","0","177","1,6","1.837"
"3","Bayern","49.204","+20","417","3,2","2.612"
"4","Berlin","8.637","+20","184","4,9","217"
"5","Branden­burg","3.462","+3","17","0,7","168"
"6","Bremen","1.689","0","11","1,6","55"
"7","Hamburg*","5.230","0","15","0,8","261"
"8","Hessen","11.162","+40","212","3,4","514"
"9","Meck­lenburg-
Vor­pommern","804","0","0","0,0","20"
"10","Nieder­sachsen","13.804","+5","96","1,2","642"
"11","Nord­rhein-West­falen","44.915","+127","864","4,8","1.704"
"12","Rhein­land-Pfalz","7.157","+21","69","1,7","236"
"13","Saarland*","2.812","0","6","0,6","174"
"14","Sachsen*","5.473","0","14","0,3","225"
"15","Sachsen-Anhalt","1.917","+10","33","1,5","62"
"16","Schles­wig-Holstein","3.206","0","21","0,7","154"
"17","Thüringen","3.291","+2","21","1,0","182"
"18","Gesamt","198.804","+248","2.157","2,6","9.063"
