"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","34.958","+21","162","1,5","1.795"
"3","Bayern","47.423","+52","305","2,3","2.521"
"4","Berlin","7.042","+26","200","5,3","205"
"5","Branden­burg","3.302","-2","24","1,0","160"
"6","Bremen","1.532","+1","96","14,1","43"
"7","Hamburg","5.117","+2","21","1,1","254"
"8","Hessen","10.237","+30","159","2,5","484"
"9","Meck­lenburg-
Vor­pommern","780","+6","13","0,8","20"
"10","Nieder­sachsen","12.601","+92","485","6,1","606"
"11","Nord­rhein-West­falen","38.743","+83","633","3,5","1.635"
"12","Rhein­land-Pfalz","6.787","+6","79","1,9","230"
"13","Saarland","2.754","+7","22","2,2","167"
"14","Sachsen","5.333","+3","30","0,7","217"
"15","Sachsen-Anhalt","1.720","0","12","0,5","56"
"16","Schles­wig-Holstein","3.114","+4","10","0,3","148"
"17","Thüringen","3.100","+19","73","3,4","170"
"18","Gesamt","184.543","350","2.324","2,8","8.711"
