"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg**","35.272","0","129","1,2","1.824"
"3","Bayern","47.843","+16","228","1,7","2.565"
"4","Berlin","7.804","+71","455","12,1","211"
"5","Branden­burg","3.388","+5","45","1,8","163"
"6","Bremen","1.645","+9","56","8,2","49"
"7","Hamburg","5.163","+3","19","1,0","259"
"8","Hessen","10.575","+19","217","3,5","500"
"9","Meck­lenburg-
Vor­pommern","792","+1","10","0,6","20"
"10","Nieder­sachsen**","13.136","0","210","2,6","618"
"11","Nord­rhein-West­falen","40.921","+549","1.638","9,1","1.663"
"12","Rhein­land-Pfalz","6.907","+4","64","1,6","234"
"13","Saarland","2.778","+2","10","1,0","168"
"14","Sachsen**","5.408","0","61","1,5","221"
"15","Sachsen-Anhalt","1.842","+3","84","3,8","57"
"16","Schles­wig-Holstein","3.134","+1","15","0,5","152"
"17","Thüringen","3.214","+4","39","1,8","178"
"18","Gesamt","189.822","+687*","3.280","3,9","8.882"
