"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","34.870","+40","131","1,2","1.778"
"3","Bayern","47.268","+59","369","2,8","2.481"
"4","Berlin","6.946","+45","187","5,0","200"
"5","Branden­burg","3.288","+8","22","0,9","156"
"6","Bremen","1.498","+36","123","18,0","44"
"7","Hamburg","5.107","+11","25","1,4","253"
"8","Hessen","10.163","+34","172","2,7","482"
"9","Meck­lenburg-
Vor­pommern","764","+1","4","0,2","20"
"10","Nieder­sachsen","12.277","+95","354","4,4","604"
"11","Nord­rhein-West­falen","38.439","+142","576","3,2","1.617"
"12","Rhein­land-Pfalz","6.732","+13","57","1,4","230"
"13","Saarland","2.738","+1","19","1,9","166"
"14","Sachsen","5.315","+3","21","0,5","212"
"15","Sachsen-Anhalt","1.712","+1","8","0,4","55"
"16","Schles­wig-Holstein","3.103","0","27","0,9","146"
"17","Thüringen","3.051","+18","63","2,9","169"
"18","Gesamt","183.271","+507","2.158","2,6","8.613"
